year,temperature_anomaly,temp_ma_3,temp_ma_5,temp_ma_10,temp_growth_rate,warming_acceleration,climate_severity_index
1880,-0.18,-0.18,-0.18,-0.18,,,17.415730337078653
1881,-0.09,-0.135,-0.135,-0.135,-50.0,,22.471910112359552
1882,-0.11,-0.12666666666666668,-0.12666666666666668,-0.12666666666666668,22.222222222222232,72.22222222222223,21.34831460674157
1883,-0.17,-0.12333333333333334,-0.1375,-0.1375,54.54545454545456,32.32323232323233,17.977528089887638
1884,-0.28,-0.18666666666666668,-0.166,-0.166,64.70588235294119,10.160427807486627,11.797752808988763
1885,-0.34,-0.26333333333333336,-0.198,-0.19499999999999998,21.42857142857142,-43.27731092436977,8.42696629213483
1886,-0.32,-0.3133333333333334,-0.244,-0.21285714285714286,-5.882352941176472,-27.31092436974789,9.550561797752808
1887,-0.37,-0.3433333333333333,-0.29600000000000004,-0.2325,15.625,21.50735294117647,6.741573033707865
1888,-0.18,-0.29,-0.298,-0.22666666666666668,-51.35135135135136,-66.97635135135135,17.415730337078653
1889,-0.11,-0.22,-0.264,-0.215,-38.888888888888886,12.462462462462476,21.34831460674157
1890,-0.36,-0.21666666666666665,-0.26799999999999996,-0.233,227.27272727272725,266.16161616161617,7.303370786516854
1891,-0.22,-0.22999999999999998,-0.248,-0.24600000000000005,-38.888888888888886,-266.16161616161617,15.168539325842698
1892,-0.27,-0.2833333333333333,-0.22800000000000004,-0.262,22.72727272727273,61.61616161616162,12.359550561797752
1893,-0.31,-0.26666666666666666,-0.254,-0.27599999999999997,14.814814814814813,-7.912457912457917,10.112359550561797
1894,-0.31,-0.2966666666666667,-0.29399999999999993,-0.279,0.0,-14.814814814814813,10.112359550561797
1895,-0.23,-0.2833333333333333,-0.268,-0.26799999999999996,-25.806451612903224,-25.806451612903224,14.606741573033707
1896,-0.12,-0.22,-0.248,-0.248,-47.82608695652174,-22.019635343618518,20.786516853932586
1897,-0.11,-0.15333333333333335,-0.21600000000000003,-0.22199999999999998,-8.333333333333325,39.49275362318842,21.34831460674157
1898,-0.28,-0.17,-0.21000000000000002,-0.23200000000000004,154.5454545454546,162.8787878787879,11.797752808988763
1899,-0.18,-0.19000000000000003,-0.184,-0.23899999999999996,-35.71428571428572,-190.2597402597403,17.415730337078653
1900,-0.09,-0.18333333333333335,-0.156,-0.21200000000000002,-50.0,-14.285714285714278,22.471910112359552
1901,-0.16,-0.14333333333333334,-0.164,-0.20600000000000002,77.77777777777779,127.77777777777779,18.539325842696627
1902,-0.28,-0.17666666666666667,-0.198,-0.20700000000000002,75.00000000000003,-2.7777777777777573,11.797752808988763
1903,-0.37,-0.27,-0.21600000000000003,-0.213,32.14285714285714,-42.85714285714289,6.741573033707865
1904,-0.47,-0.37333333333333335,-0.274,-0.229,27.027027027027017,-5.115830115830121,1.1235955056179785
1905,-0.26,-0.3666666666666667,-0.308,-0.23199999999999998,-44.680851063829785,-71.70787809085681,12.921348314606739
1906,-0.22,-0.31666666666666665,-0.32,-0.242,-15.384615384615385,29.296235679214398,15.168539325842698
1907,-0.39,-0.29,-0.34199999999999997,-0.27,77.27272727272727,92.65734265734265,5.617977528089886
1908,-0.43,-0.3466666666666667,-0.354,-0.28500000000000003,10.256410256410241,-67.01631701631703,3.3707865168539324
1909,-0.49,-0.4366666666666667,-0.358,-0.316,13.953488372093027,3.6970781156827854,0.0
1910,-0.44,-0.4533333333333333,-0.39399999999999996,-0.35100000000000003,-10.204081632653061,-24.157570004746088,2.808988764044943
1911,-0.45,-0.46,-0.43999999999999995,-0.38,2.2727272727272707,12.47680890538033,2.247191011235954
1912,-0.37,-0.42,-0.43600000000000005,-0.38899999999999996,-17.777777777777782,-20.050505050505052,6.741573033707865
1913,-0.35,-0.38999999999999996,-0.42000000000000004,-0.387,-5.405405405405405,12.372372372372377,7.865168539325844
1914,-0.15,-0.29,-0.352,-0.355,-57.14285714285714,-51.737451737451735,19.101123595505616
1915,-0.14,-0.21333333333333335,-0.292,-0.343,-6.666666666666654,50.47619047619048,19.662921348314605
1916,-0.36,-0.21666666666666667,-0.27399999999999997,-0.357,157.1428571428571,163.80952380952377,7.303370786516854
1917,-0.46,-0.32,-0.292,-0.364,27.77777777777779,-129.3650793650793,1.6853932584269644
1918,-0.3,-0.37333333333333335,-0.282,-0.351,-34.782608695652186,-62.56038647342997,10.674157303370785
1919,-0.28,-0.3466666666666667,-0.308,-0.32999999999999996,-6.666666666666654,28.115942028985533,11.797752808988763
1920,-0.28,-0.2866666666666667,-0.33599999999999997,-0.31399999999999995,0.0,6.666666666666654,11.797752808988763
1921,-0.19,-0.25,-0.302,-0.28800000000000003,-32.14285714285715,-32.14285714285715,16.853932584269664
1922,-0.28,-0.25,-0.266,-0.279,47.36842105263159,79.51127819548874,11.797752808988763
