City,Year,Month,PM2.5,AQI
Ahmedabad,2015,1,85.83,350.3333333333333
Ahmedabad,2015,2,109.33964285714286,496.14285714285717
Ahmedabad,2015,3,112.48677419354838,437.80645161290323
Ahmedabad,2015,4,101.682,300.6
Ahmedabad,2015,5,74.91935483870968,260.19354838709677
Ahmedabad,2015,6,48.97366666666667,207.06666666666666
Ahmedabad,2015,7,52.41967741935484,165.4516129032258
Ahmedabad,2015,8,40.88,223.96774193548387
Ahmedabad,2015,9,41.71633333333333,253.63333333333333
Ahmedabad,2015,10,109.77064516129032,470.9032258064516
Ahmedabad,2015,11,135.23666666666665,361.2
Ahmedabad,2015,12,127.64,355.0
Bengaluru,2015,1,57.67,78.0
Bengaluru,2015,2,57.67,78.0
Bengaluru,2015,3,53.41258064516129,96.64516129032258
Bengaluru,2015,4,28.666,113.73333333333333
Bengaluru,2015,5,33.549032258064514,102.7741935483871
Bengaluru,2015,6,18.303333333333335,108.3
Bengaluru,2015,7,21.020967741935483,160.5483870967742
Bengaluru,2015,8,21.12290322580645,134.8709677419355
Bengaluru,2015,9,20.229333333333333,98.36666666666666
Bengaluru,2015,10,31.425161290322578,105.3225806451613
Bengaluru,2015,11,30.281333333333333,83.93333333333334
Bengaluru,2015,12,46.01064516129032,97.45161290322581
Chennai,2015,1,32.9,66.0
Chennai,2015,2,32.9,66.0
Chennai,2015,3,65.31096774193549,147.29032258064515
Chennai,2015,4,77.36166666666666,178.26666666666668
Chennai,2015,5,81.53129032258065,176.1290322580645
Chennai,2015,6,69.56700000000001,152.2
Chennai,2015,7,60.20967741935484,164.06451612903226
Chennai,2015,8,53.67903225806452,122.61290322580645
Chennai,2015,9,35.45399999999999,120.73333333333333
Chennai,2015,10,48.96645161290323,143.58064516129033
Chennai,2015,11,39.72966666666667,120.63333333333334
Chennai,2015,12,54.18161290322581,117.93548387096774
Delhi,2015,1,175.69064516129032,342.2903225806452
Delhi,2015,2,153.9203571428571,327.92857142857144
Delhi,2015,3,80.33806451612904,256.06451612903226
Delhi,2015,4,91.56233333333333,305.26666666666665
Delhi,2015,5,97.10935483870968,348.5806451612903
Delhi,2015,6,85.777,258.3333333333333
Delhi,2015,7,52.73258064516129,200.29032258064515
Delhi,2015,8,56.932903225806456,218.06451612903226
Delhi,2015,9,74.22333333333333,225.3
Delhi,2015,10,132.0509677419355,325.0
Delhi,2015,11,227.70600000000002,405.03333333333336
Delhi,2015,12,183.9058064516129,355.3225806451613
Gurugram,2015,11,5.88,111.0
Gurugram,2015,12,5.88,111.0
Hyderabad,2015,1,40.0,36.0
Hyderabad,2015,2,40.0,36.0
Hyderabad,2015,3,40.22677419354839,38.70967741935484
Hyderabad,2015,4,54.334666666666664,136.96666666666667
Hyderabad,2015,5,51.552580645161285,133.38709677419354
Hyderabad,2015,6,74.767,155.53333333333333
Hyderabad,2015,7,26.766129032258064,78.48387096774194
Hyderabad,2015,8,50.83,132.93548387096774
Hyderabad,2015,9,78.06433333333332,170.1
Hyderabad,2015,10,121.81967741935483,217.06451612903226
Hyderabad,2015,11,60.782333333333334,139.16666666666666
Hyderabad,2015,12,56.34903225806451,124.74193548387096
Lucknow,2015,1,10.53,45.0
Lucknow,2015,2,10.53,45.0
Lucknow,2015,3,84.36387096774193,122.80645161290323
Lucknow,2015,4,46.330000000000005,118.06666666666666
Lucknow,2015,5,39.099999999999994,137.0
Lucknow,2015,6,52.736999999999995,149.66666666666666
Lucknow,2015,7,31.740645161290324,122.70967741935483
Lucknow,2015,8,43.77225806451613,105.51612903225806
Lucknow,2015,9,56.82533333333333,130.46666666666667
Lucknow,2015,10,105.06129032258065,240.2258064516129
Lucknow,2015,11,248.78333333333333,397.76666666666665
Lucknow,2015,12,239.11645161290323,388.06451612903226
Mumbai,2015,1,34.97,76.0
Mumbai,2015,2,34.97,76.0
Mumbai,2015,3,34.97,76.0
Mumbai,2015,4,34.97,76.0
Mumbai,2015,5,34.97,76.0
Mumbai,2015,6,34.97,76.0
Mumbai,2015,7,34.97,76.0
Mumbai,2015,8,34.97,76.0
Mumbai,2015,9,34.97,76.0
Mumbai,2015,10,34.97,76.0
Mumbai,2015,11,34.97,76.0
Mumbai,2015,12,34.97,76.0
Patna,2015,6,3.8399999999999994,53.0
Patna,2015,7,3.84,53.0
Patna,2015,8,3.84,53.0
Patna,2015,9,3.8399999999999994,53.0
Patna,2015,10,113.47096774193548,223.25806451612902
Patna,2015,11,222.26433333333335,371.0
Patna,2015,12,278.8774193548387,407.93548387096774
