year,time_key
1880,1
1881,2
1882,3
1883,4
1884,5
1885,6
1886,7
1887,8
1888,9
1889,10
1890,11
1891,12
1892,13
1893,14
1894,15
1895,16
1896,17
1897,18
1898,19
1899,20
1900,21
1901,22
1902,23
1903,24
1904,25
1905,26
1906,27
1907,28
1908,29
1909,30
1910,31
1911,32
1912,33
1913,34
1914,35
1915,36
1916,37
1917,38
1918,39
1919,40
1920,41
1921,42
1922,43
1923,44
1924,45
1925,46
1926,47
1927,48
1928,49
1929,50
1930,51
1931,52
1932,53
1933,54
1934,55
1935,56
1936,57
1937,58
1938,59
1939,60
1940,61
1941,62
1942,63
1943,64
1944,65
1945,66
1946,67
1947,68
1948,69
1949,70
1950,71
1951,72
1952,73
1953,74
1954,75
1955,76
1956,77
1957,78
1958,79
1959,80
1960,81
1961,82
1962,83
1963,84
1964,85
1965,86
1966,87
1967,88
1968,89
1969,90
1970,91
1971,92
1972,93
1973,94
1974,95
1975,96
1976,97
1977,98
1978,99
1979,100
1980,101
1981,102
1982,103
1983,104
1984,105
1985,106
1986,107
1987,108
1988,109
1989,110
1990,111
1991,112
1992,113
1993,114
1994,115
1995,116
1996,117
1997,118
1998,119
1999,120
2000,121
2001,122
2002,123
2003,124
2004,125
2005,126
2006,127
2007,128
2008,129
2009,130
2010,131
2011,132
2012,133
2013,134
2014,135
2015,136
2016,137
2017,138
2018,139
2019,140
2020,141
2021,142
2022,143
2023,144
2024,145
2025,146
