year,forest_cover,forest_growth_rate,forest_ma_3yr,forest_ma_5yr
2005,4032742.686,,4032742.686,4032742.686
2006,4029328.7414,-0.08465565164501587,4031035.7137,4031035.7137
2007,4025914.7968,-0.08472737815912179,4029328.7414,4029328.7414
2008,4022500.8522,-0.0847992263202757,4025914.7968,4027621.7691
2009,4019086.9076,-0.08487119643822982,4022500.8522,4025914.7968
2010,4015672.963,-0.08494328882374669,4019086.9076,4022500.8522
2011,4013310.2,-0.0588385314683304,4016023.3568666666,4019297.1439199997
2012,4010947.437,-0.05887317157792227,4013310.1999999997,4016303.67196
2013,4008584.674,-0.058907852498990554,4010947.4370000004,4013520.4363200003
2014,4006221.911,-0.05894257430372196,4008584.674,4010947.437
2015,4003859.148,-0.05897733706443642,4006221.911,4008584.674
2016,4001496.385,-0.059012140853664796,4003859.1479999996,4006221.911
2017,3999133.622,-0.059046985744048985,4001496.385,4003859.1479999996
