,count,unique,top,freq,mean,std,min,25%,50%,75%,max
year,1.0,,,,2017.0,,2017.0,2017.0,2017.0,2017.0,2017.0
temperature_anomaly,1.0,,,,0.92,,0.92,0.92,0.92,0.92,0.92
temp_ma,1.0,,,,0.9433333333333334,,0.9433333333333334,0.9433333333333334,0.9433333333333334,0.9433333333333334,0.9433333333333334
pm2.5,1.0,,,,82.78587974369005,,82.78587974369005,82.78587974369005,82.78587974369005,82.78587974369005,82.78587974369005
aqi,1.0,,,,178.88095156158906,,178.88095156158906,178.88095156158906,178.88095156158906,178.88095156158906,178.88095156158906
forest_cover,1.0,,,,34115.72426984436,,34115.72426984436,34115.72426984436,34115.72426984436,34115.72426984436,34115.72426984436
forest_ma,1.0,,,,34196.752907976654,,34196.752907976654,34196.752907976654,34196.752907976654,34196.752907976654,34196.752907976654
temp_5yr_avg,1.0,,,,0.92,,0.92,0.92,0.92,0.92,0.92
aqi_3yr_avg,1.0,,,,178.88095156158906,,178.88095156158906,178.88095156158906,178.88095156158906,178.88095156158906,178.88095156158906
forest_3yr_avg,1.0,,,,34115.72426984436,,34115.72426984436,34115.72426984436,34115.72426984436,34115.72426984436,34115.72426984436
temp_trend,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
aqi_trend,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
forest_trend,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
temp_growth_pct,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
aqi_growth_pct,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
temp_previous_year,1.0,,,,0.92,,0.92,0.92,0.92,0.92,0.92
aqi_previous_year,1.0,,,,178.88095156158906,,178.88095156158906,178.88095156158906,178.88095156158906,178.88095156158906,178.88095156158906
cumulative_temperature,1.0,,,,0.92,,0.92,0.92,0.92,0.92,0.92
cumulative_pm25,1.0,,,,82.78587974369005,,82.78587974369005,82.78587974369005,82.78587974369005,82.78587974369005,82.78587974369005
cumulative_aqi,1.0,,,,178.88095156158906,,178.88095156158906,178.88095156158906,178.88095156158906,178.88095156158906,178.88095156158906
cumulative_forest,1.0,,,,34115.72426984436,,34115.72426984436,34115.72426984436,34115.72426984436,34115.72426984436,34115.72426984436
max_temperature,1.0,,,,0.92,,0.92,0.92,0.92,0.92,0.92
max_aqi,1.0,,,,178.88095156158906,,178.88095156158906,178.88095156158906,178.88095156158906,178.88095156158906,178.88095156158906
min_temperature,1.0,,,,0.92,,0.92,0.92,0.92,0.92,0.92
min_aqi,1.0,,,,178.88095156158906,,178.88095156158906,178.88095156158906,178.88095156158906,178.88095156158906,178.88095156158906
aqi_to_temp_ratio,1.0,,,,93.16716227166097,,93.16716227166097,93.16716227166097,93.16716227166097,93.16716227166097,93.16716227166097
pm25_to_aqi_ratio,1.0,,,,0.46022593846100024,,0.46022593846100024,0.46022593846100024,0.46022593846100024,0.46022593846100024,0.46022593846100024
env_score,1.0,,,,247.356355180352,,247.356355180352,247.356355180352,247.356355180352,247.356355180352,247.356355180352
environmental_index,1.0,,,,87.52894376842636,,87.52894376842636,87.52894376842636,87.52894376842636,87.52894376842636,87.52894376842636
risk_category,1,1,Poor,1,,,,,,,
temperature_anomaly_zscore,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
aqi_zscore,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
pm2.5_zscore,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
forest_cover_zscore,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
temperature_anomaly_minmax,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
aqi_minmax,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
pm2.5_minmax,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
forest_cover_minmax,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
pc1,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
pc2,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
