Year,Temperature_Anomaly,Temp_MA
2000,0.39,0.46
2001,0.53,0.43333333333333335
2002,0.63,0.5166666666666667
2003,0.61,0.59
2004,0.53,0.59
2005,0.68,0.6066666666666667
2006,0.64,0.6166666666666667
2007,0.66,0.66
2008,0.54,0.6133333333333334
2009,0.66,0.6200000000000001
2010,0.72,0.64
2011,0.61,0.6633333333333333
2012,0.64,0.6566666666666667
2013,0.68,0.6433333333333333
2014,0.75,0.6900000000000001
2015,0.9,0.7766666666666667
2016,1.01,0.8866666666666667
2017,0.92,0.9433333333333334
2018,0.85,0.9266666666666667
2019,0.98,0.9166666666666666
2020,1.01,0.9466666666666667
2021,0.85,0.9466666666666667
2022,0.89,0.9166666666666666
2023,1.17,0.9699999999999999
2024,1.29,1.1166666666666665
2025,1.19,1.2166666666666666
